,smlmitzrach,protein,total_fat,carbohydrates,lable
377,21540100,23.59000015,14.42000008,1.850000024,-1
378,21601509,17.0,3.0,3.0,-1
379,21603029,25.0,3.0,2.0,-1
380,21810018,25.74941635,13.99672508,9.21282959,-1
381,21810038,8.622933388,5.796794891,13.37478542,-1
382,21810048,9.79728508,4.854664803,10.55739403,-1
383,21810058,10.06612492,4.951132298,8.591079712,-1
384,21810068,9.004366875,6.348320961,9.156001091,-1
385,21810078,8.993757248,6.340841293,9.145213127,-1
386,21810088,10.6584053,6.731322765,13.35118008,-1
387,21810108,7.81011343,4.985551834,9.614552498,-1
388,21810128,7.439486504,0.822142243,12.28999233,-1
389,22000110,28.44000053,8.100000381,0.0,-1
390,22000120,29.41,4.16,0.0,-1
391,22000200,28.44,8.1,0.0,-1
392,22101010,28.44000053,8.100000381,0.0,-1
393,22101220,29.41,4.16,0.0,-1
394,22201010,22.95999908,15.85999966,0.059999999,-1
395,22201020,24.61000061,7.420000076,0.07,-1
396,22300130,19.15999985,11.40999985,1.179999948,-1
397,22300140,20.54999924,9.770000458,0.959999979,-1
398,22301110,26.61000061,17.45999908,0.0,-1
399,22301120,29.15999985,9.359999657,0.0,-1
400,22600200,33.91999817,35.09000015,1.700000048,-1
401,22600209,28.0,14.0,0.0,-1
402,22601009,18.0,2.0,2.0,-1
403,23000100,24.31999969,20.77000046,0.0,-1
404,23101000,24.95999908,22.88999939,0.0,-1
405,23101009,11.0,15.0,1.2,-1
406,23101010,24.95999908,22.88999939,0.0,-1
407,23101020,29.73999977,9.649999619,0.0,-1
408,23108010,22.42000008,19.88999939,0.0,-1
409,23108018,22.81759453,20.55698013,5.804987907,-1
410,23108020,24.84000015,10.72000027,0.0,-1
411,23120108,31.98682976,24.95166588,1.981907725,-1
412,23120110,23.82999992,18.06999969,0.0,-1
413,23120118,37.91688156,29.70659447,0.0,-1
414,23120120,26.39999962,9.180000305,0.0,-1
415,23120128,36.12357712,36.48738861,0.0,-1
416,23120138,21.90237999,17.32937431,1.649490476,-1
417,23120148,37.91688156,29.70659447,0.0,-1
418,23120158,28.77419472,27.37096596,0.0,-1
419,23120178,20.657341,15.28432846,7.223409653,-1
420,23121048,28.968153,29.10329056,0.937174737,-1
421,23121058,15.12820435,21.75182343,2.389116287,-1
422,23132000,24.54000092,19.48999977,0.0,-1
423,23132008,14.3127594,9.38111496,4.063318253,-1
424,23132009,15.0,10.0,2.5,-1
425,23132038,18.73128319,6.958445549,7.997807503,-1
426,23132058,12.09349346,11.53585339,7.182922363,-1
427,23132068,10.0235815,6.084846497,9.749335289,-1
428,23132078,15.59687138,10.61732864,2.050543785,-1
429,23132098,10.51842976,6.07030344,5.675064564,-1
430,23132118,16.16551208,6.737989426,2.125303745,-1
431,23132128,11.3069067,7.547759056,2.592703342,-1
432,23132138,14.94049454,6.346875191,1.964248896,-1
433,23132148,13.97738552,8.779039383,9.13500309,-1
434,23150100,26.87000084,3.0,0.0,-1
435,23150250,26.87,3.0,0.0,-1
436,23200109,18.79999924,13.5,0.100000001,-1
437,23200110,29.85000038,11.30000019,0.0,-1
438,23200119,18.70000076,11.0,0.0,-1
439,23200120,31.62999916,6.519999981,0.0,-1
440,23200129,16.5,6.0,1.0,-1
441,23200139,20.39999962,6.199999809,1.200000048,-1
442,23200149,16.0,8.300000191,0.0,-1
443,23200158,15.70196056,5.638842106,2.659533024,-1
444,23200159,19.70000076,10.10000038,0.0,-1
445,23200168,15.14550018,5.664065838,7.966887951,-1
446,23200178,10.81592464,3.971932411,8.956993103,-1
447,23200179,20.20000076,3.900000095,0.100000001,-1
448,23200188,15.14550018,5.664065838,7.966887951,-1
449,23200189,16.0,5.0,0.5,-1
450,23200199,15.0,10.0,1.0,-1
451,23200208,11.12228489,8.500518799,12.51595688,-1
452,23200209,17.0,4.0,1.0,-1
453,23200218,9.88267231,5.313374043,10.93987656,-1
454,23200268,18.25100327,3.319082499,8.04467392,-1
455,23204020,35.86000061,6.28000021,0.0,-1
456,23204030,32.88999939,4.579999924,0.0,-1
457,23204038,19.79745483,17.38207817,0.0,-1
458,23204049,20.89999962,6.400000095,1.5,-1
459,23205020,27.29000092,9.180000305,9.909999847,-1
460,23205030,32.88999939,4.579999924,0.0,-1
461,23205108,20.99260902,10.26925087,5.326522827,-1
462,23210020,29.85000038,11.30000019,0.0,-1
463,23210030,26.10000038,6.880000114,0.0,-1
464,23220010,24.18000031,7.5,0.0,-1
465,23311100,30.25,8.38,0.0,-1
466,23321050,35.11000061,4.079999924,0.0,-1
467,23321100,36.08,3.93,0.0,-1
468,24102010,27.94000053,9.420000076,0.0,-1
469,24102020,29.31999969,4.199999809,0.0,-1
470,24113030,21.38999939,3.079999924,0.0,-1
471,24113200,12.64799976,10.2407999,0.0,-1
472,24113220,16.28879929,8.289600372,0.0,-1
473,24113230,18.60000038,15.06000042,0.0,-1
474,24120009,22.0,2.2,0.4,-1
475,24120120,30.12000084,3.769999981,0.0,-1
476,24120130,15.60000038,9.300000191,0.699999988,-1
477,24121110,29.5,7.7,0.0,-1
478,24121129,23.0,2.0,3.5,-1
479,24121139,23.0,3.0,2.6,-1
480,24122110,29.54999924,7.71999979,0.0,-1
481,24122120,30.12000084,3.769999981,0.0,-1
482,24123110,27.15999985,7.360000134,0.0,-1
483,24123120,28.15999985,3.519999981,0.0,-1
484,24123138,24.4140625,4.796007156,0.0,-1
485,24123148,24.4140625,4.796007156,0.0,-1
486,24123158,17.57264709,4.849639416,4.588171005,-1
487,24123168,10.61044884,4.688884258,4.082403183,-1
488,24126118,26.04329872,11.23438835,12.33380127,-1
489,24126128,25.1040535,12.95560074,17.81269073,-1
490,24126138,23.30892944,9.869354248,20.22658157,-1
491,24126148,25.67424393,9.321217537,18.34758568,-1
492,24126158,25.67424393,9.321217537,18.34758568,-1
493,24126168,25.67424393,9.321217537,18.34758568,-1
494,24126198,25.67424393,9.321217537,18.34758568,-1
495,24127138,32.95640945,3.837590694,0.0,-1
496,24127148,32.38714981,5.498618126,0.0,-1
497,24127158,32.38714981,5.498618126,0.0,-1
498,24127168,25.14742088,4.722609997,1.992578149,-1
499,24127178,32.38714981,5.498618126,0.0,-1
500,24127198,18.47974014,2.118550062,7.110636234,-1
501,24130009,14.6,14.4,0.8,-1
502,24130220,24.37999916,6.670000076,0.0,-1
503,24132210,23.35000038,11.94999981,0.02,-1
504,24132220,24.37999916,6.670000076,0.0,-1
505,24133210,23.14999962,12.57999992,0.050000001,-1
506,24133218,17.87976265,7.617091656,1.102330685,-1
507,24133220,25.05999947,7.5,0.0,-1
508,24133230,9.330900192,9.091500282,0.096900001,-1
509,24133240,20.10000038,3.799999952,0.0,-1
510,24134208,27.23035049,8.839915276,0.0,-1
511,24134218,14.03926563,5.494516373,1.106242895,-1
512,24134220,27.61000061,9.220000267,0.0,-1
513,24134248,27.23035049,8.839915276,0.0,-1
514,24134268,12.91992855,5.352775574,11.03596878,-1
515,24141210,28.29000092,5.659999847,0.0,-1
516,24141220,28.04999924,5.610000134,0.0,-1
517,24142210,23.55999947,9.720000267,0.02,-1
518,24143210,23.98999977,10.56999969,0.039999999,-1
519,24143220,25.93000031,5.849999905,0.0,-1
520,24143230,19.40999985,3.710000038,0.0,-1
521,24143240,19.15999985,4.21999979,0.0,-1
522,24143248,12.90912533,5.358128548,2.186282635,-1
523,24143250,18.07999992,9.199999809,0.109999999,-1
524,24143260,6.147200108,3.128000021,0.0,-1
525,24143278,18.3499279,15.81027031,4.654783726,-1
526,24144220,27.22999954,8.130000114,0.0,-1
527,24144228,21.51820946,6.03455925,0.0,-1
528,24145219,17.2,9.7,0.4,-1
529,24145238,14.87175369,6.191711426,4.150598526,-1
530,24145248,20.04375267,12.12085342,0.121947609,-1
